"Red" "Green" "Blue" "Grey"
"215" 10.97 36.02 6.408 53.61
"216" 11.08 36.37 6.467 54.12
"217" 11.19 36.73 6.519 54.62
"218" 11.29 37.08 6.582 55.13
"219" 11.4 37.4 6.642 55.66
"220" 11.5 37.74 6.703 56.15
"221" 11.6 38.1 6.768 56.65
"222" 11.72 38.45 6.829 57.22
"223" 11.81 38.78 6.885 57.71
"224" 11.92 39.13 6.948 58.22
"225" 12.03 39.48 7.012 58.78
"226" 12.13 39.81 7.072 59.26
"227" 12.25 40.17 7.136 59.83
"228" 12.36 40.51 7.197 60.31
"229" 12.48 40.89 7.254 60.88
"230" 12.59 41.22 7.322 61.42
"231" 12.71 41.58 7.385 61.97
"232" 12.81 41.85 7.449 62.51
"233" 12.93 42.24 7.521 63.09
"234" 13.05 42.61 7.585 63.65
"235" 13.16 42.94 7.648 64.19
"236" 13.28 43.3 7.712 64.68
"237" 13.4 43.7 7.777 65.29
"238" 13.52 44.04 7.844 65.84
"239" 13.62 44.38 7.907 66.38
"240" 13.74 44.76 7.979 66.94
"241" 13.87 45.16 8.05 67.5
"242" 13.98 45.5 8.104 68.08
"243" 14.11 45.85 8.178 68.62
"244" 14.21 46.22 8.241 69.15
"245" 14.34 46.62 8.313 69.77
"246" 14.47 46.98 8.381 70.33
"247" 14.58 47.35 8.453 70.92
"248" 14.7 47.74 8.515 71.42
"249" 14.83 48.14 8.596 72.1
"250" 14.95 48.53 8.664 72.65
"251" 15.07 48.89 8.729 73.24
"252" 15.19 49.28 8.794 73.78
"253" 15.31 49.66 8.861 74.43
"254" 15.44 50.05 8.928 75.04
"255" 15.55 50.43 9 75.61
"256" 15.67 50.81 9.066 76.17
